system:index,GPCODE,GPNAME,SLOPE_DEG,.geo
135_0,111927,BENAGORIYA (NI),2.113236,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,111928,BHAGABANDH,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,111929,BHAMAL,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,111930,BHURKUNDABARI,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,111931,BIRSINGPUR,2.7456152,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,111932,BRIDABANPUR,1.3734765,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,111933,CHANCH,2.9585233,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,111934,DEWIYANA,2.025846,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,111935,DHOBARI,4.1133585,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,111936,DUMARIA,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,111937,DUMARKUNDA NORTH,2.9585202,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,111939,GHAGHRA,3.5583882,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,111940,GOPALPUR,2.9586537,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,111941,GOPINATHPUR,3.1748965,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,111942,HARIYAJAM,3.7047918,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,111943,JAMDEHI,3.1745875,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,111944,JAMKUDAR,1.373585,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,111945,JOGRAT,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,111946,KALIASOL,2.1127353,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,111947,KALIMATI,2.9586935,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,111948,KALIPAHARI EAST,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,111949,KALIPAHARI NORTH,1.3736025,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,111951,KHUSHARI,4.0482507,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,111952,LEDAHARIA,5.5272565,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,111953,MADANDIH,8.814079,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,111954,MADANPUR,1.3736281,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,111955,MARMA,18.892963,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,111956,MERHA,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,111957,NIRSA MIDDLE,17.721397,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,111960,PALARPUR,1.3738183,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,111961,PANCHMOHALI,3.036858,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,111962,PANDRA EAST,5.1390095,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,111963,PANDRA WEST,8.415314,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,111965,PATHARKUAN,1.3733857,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,111966,PATLA BARI,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,111967,PINDRAHAT,2.7452426,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,111968,PITHAKIYARI,1.0135491,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,111969,RAMKANALI,2.9587395,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,111970,RANGAMATIYA,1.0139917,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,111971,SALUKACHPARA,2.958572,"{""type"":""MultiPoint"",""coordinates"":[]}"
