system:index,GPCODE,GPNAME,LANDCOVER_CLASS,LANDCOVER_NAME,.geo
38,111761,MATIGARAH,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,111762,MOHLIDIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,111763,MURAIDHI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,111764,NADKHURKI,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,111766,NAGRIKALA NORTH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,111767,NICHITPUR-1,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,111768,NICHITPUR-2,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,111769,PADUGORA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,111770,PATHARGARIA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,111771,PHATAMAHUL,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,111772,RAGHUNATHPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,111773,RAJGANJ,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,111774,RANGUNI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,111775,SINGRAH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,111776,SINIDIH,10,Grasslands,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,111777,TARGA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,111778,TELMOCHO,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,111779,TETULIA-1,10,Grasslands,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,111780,TETULIA-2,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,111781,TUNDU,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,111782,ALAKHDIHA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,111783,AMJHAR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,111784,AMTAL,10,Grasslands,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,111785,BAGHMARA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,111786,BALIAPUR EAST,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,111788,BARADAHA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,111789,BHIKHRAJPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,111790,BIRSINGHPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,111791,CHANDKUIYA,10,Grasslands,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,111792,DOLAWAR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,111793,DUDHIYA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,111794,GHARBAR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,111795,JAGDISH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,111796,KARMATAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,111797,KUSMATAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,111798,MUKUNDA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,111799,PALANI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,111800,PRADHANKHANTA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,111801,SINDURPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,111802,SURUNGA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,111803,ARALGARIA,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,111804,BARDUBHI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,111805,DAMODARPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,111806,DHOKHRA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,111807,DUBRAJDIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,111808,GOPINATHDIH,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,111809,PANDARKANALI,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,111810,PANDERKANALI SOUTH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,111811,SAMSHIKHARA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,111812,SIYALGUDRI,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,111813,AMARPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,111814,ASANBANI 1,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,111815,ASANBANI 2,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,111816,BAGSUMA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,111817,BARA NAWATAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,111818,BARA PICHARI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,111819,BARIYO,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,111820,BARWA EAST,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,111821,BHITIYA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,111822,BIRAJPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,111823,DAMKARA BARWA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,111824,DEWLI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,111825,GORTOPA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,111826,GOVINDPUR EAST,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,111828,JAMDIHA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,111829,JANGALPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,111830,JAYNAGAR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,111831,JIALGORA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,111832,KALADABUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,111833,KANCHANPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,111834,KARMATAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
