system:index,ELEVATION_M,GPCODE,GPNAME,.geo
168_0,171,111965,PATHARKUAN,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,131,111966,PATLA BARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,177,111967,PINDRAHAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,137,111968,PITHAKIYARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,158,111969,RAMKANALI,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,170,111970,RANGAMATIYA,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,176,111971,SALUKACHPARA,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,133,111972,SASHANBARIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,150,111973,SHYAMPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,168,111974,SIJUA,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,135,111976,SIWALIBARI MIDDLE,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,160,111979,SONBAD,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,156,111980,SUSUNLIYA,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,162,111981,UPCHURIYA,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,148,111982,URMA,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,269,111983,BHUIYA CHITRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,222,111984,BISHANPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,250,111985,BRAHAMANDIHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,213,111986,CHAITA,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,302,111987,CHITARPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,240,111988,DHANGI,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,280,111989,DUMDUMI,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,238,111990,GENDANAWADIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,245,111991,GHUNGHASA,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,233,111992,GOMO NORTH,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,245,111994,HARIHARPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,249,111996,KHARIYO,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,241,111998,KORKOTA,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,292,111999,LEDATAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,281,112000,LOKBAD,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,300,112001,MADAIDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,292,112002,MATARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,279,112003,NERO,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,285,112004,PAWAPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,234,112005,PRADHANKHANTA,"{""type"":""MultiPoint"",""coordinates"":[]}"
